date,ward,teisho,I_total,I_pass1,I_rate1,I_admit,I_pass2,I_rate2,II_total,II_pass1,II_rate1,II_admit,II_pass2,II_rate2
2025-04-01,5F,47,42,8,0.1904,3,2,0.6666,42,6,0.1428,3,2,0.6666
2025-04-01,6F,47,43,12,0.279,3,1,0.3333,43,12,0.279,3,1,0.3333
2025-04-01,合計,94,85,20,0.2352,6,3,0.5,85,18,0.2117,6,3,0.5
2025-04-02,5F,47,43,7,0.1627,2,2,1.0,43,7,0.1627,2,2,1.0
2025-04-02,6F,47,44,10,0.2272,4,3,0.75,44,10,0.2272,4,3,0.75
2025-04-02,合計,94,87,17,0.1954,6,5,0.8333,87,17,0.1954,6,5,0.8333
2025-04-03,5F,47,41,8,0.1951,2,1,0.5,41,7,0.1707,2,1,0.5
2025-04-03,6F,47,45,12,0.2666,3,3,1.0,45,11,0.2444,3,3,1.0
2025-04-03,合計,94,86,20,0.2325,5,4,0.8,86,18,0.2093,5,4,0.8
2025-04-04,5F,47,45,12,0.2666,4,2,0.5,45,11,0.2444,4,2,0.5
2025-04-04,6F,47,45,13,0.2888,1,1,1.0,45,11,0.2444,1,1,1.0
2025-04-04,合計,94,90,25,0.2777,5,3,0.6,90,22,0.2444,5,3,0.6
2025-04-05,5F,47,40,9,0.225,0,0,0.0,40,8,0.2,0,0,0.0
2025-04-05,6F,47,44,9,0.2045,0,0,0.0,44,8,0.1818,0,0,0.0
2025-04-05,合計,94,84,18,0.2142,0,0,0.0,84,16,0.1904,0,0,0.0
2025-04-06,5F,47,40,9,0.225,0,0,0.0,40,8,0.2,0,0,0.0
2025-04-06,6F,47,42,8,0.1904,0,0,0.0,42,8,0.1904,0,0,0.0
2025-04-06,合計,94,82,17,0.2073,0,0,0.0,82,16,0.1951,0,0,0.0
2025-04-07,5F,47,41,9,0.2195,4,2,0.5,41,8,0.1951,4,2,0.5
2025-04-07,6F,47,39,8,0.2051,1,1,1.0,39,8,0.2051,1,1,1.0
2025-04-07,合計,94,80,17,0.2125,5,3,0.6,80,16,0.2,5,3,0.6
2025-04-08,5F,47,40,9,0.225,3,1,0.3333,40,8,0.2,3,1,0.3333
2025-04-08,6F,47,40,9,0.225,5,3,0.6,40,9,0.225,5,3,0.6
2025-04-08,合計,94,80,18,0.225,8,4,0.5,80,17,0.2125,8,4,0.5
2025-04-09,5F,47,37,7,0.1891,2,1,0.5,37,6,0.1621,2,1,0.5
2025-04-09,6F,47,43,10,0.2325,4,2,0.5,43,9,0.2093,4,2,0.5
2025-04-09,合計,94,80,17,0.2125,6,3,0.5,80,15,0.1875,6,3,0.5
2025-04-10,5F,47,39,9,0.2307,4,1,0.25,39,7,0.1794,4,1,0.25
2025-04-10,6F,47,42,8,0.1904,2,2,1.0,42,7,0.1666,2,2,1.0
2025-04-10,合計,94,81,17,0.2098,6,3,0.5,81,14,0.1728,6,3,0.5
2025-04-11,5F,47,41,12,0.2926,6,3,0.5,41,10,0.2439,6,3,0.5
2025-04-11,6F,47,38,9,0.2368,1,1,1.0,38,8,0.2105,1,1,1.0
2025-04-11,合計,94,79,21,0.2658,7,4,0.5714,79,18,0.2278,7,4,0.5714
2025-04-12,5F,47,40,11,0.275,3,2,0.6666,40,10,0.25,3,2,0.6666
2025-04-12,6F,47,41,7,0.1707,3,2,0.6666,41,5,0.1219,3,2,0.6666
2025-04-12,合計,94,81,18,0.2222,6,4,0.6666,81,15,0.1851,6,4,0.6666
2025-04-13,5F,47,39,10,0.2564,0,0,0.0,39,9,0.2307,0,0,0.0
2025-04-13,6F,47,41,6,0.1463,0,0,0.0,41,5,0.1219,0,0,0.0
2025-04-13,合計,94,80,16,0.2,0,0,0.0,80,14,0.175,0,0,0.0
2025-04-14,5F,47,44,11,0.25,6,2,0.3333,44,11,0.25,6,2,0.3333
2025-04-14,6F,47,46,7,0.1521,5,3,0.6,46,6,0.1304,5,3,0.6
2025-04-14,合計,94,90,18,0.2,11,5,0.4545,90,17,0.1888,11,5,0.4545
2025-04-15,5F,47,46,13,0.2826,4,3,0.75,46,10,0.2173,4,3,0.75
2025-04-15,6F,47,43,10,0.2325,2,1,0.5,43,8,0.186,2,1,0.5
2025-04-15,合計,94,89,23,0.2584,6,4,0.6666,89,18,0.2022,6,4,0.6666
2025-04-16,5F,47,48,15,0.3125,4,2,0.5,48,12,0.25,4,2,0.5
2025-04-16,6F,47,45,12,0.2666,4,3,0.75,45,12,0.2666,4,3,0.75
2025-04-16,合計,94,93,27,0.2903,8,5,0.625,93,24,0.258,8,5,0.625
2025-04-17,5F,47,49,13,0.2653,3,2,0.6666,49,12,0.2448,3,2,0.6666
2025-04-17,6F,47,45,7,0.1555,3,2,0.6666,45,7,0.1555,3,2,0.6666
2025-04-17,合計,94,94,20,0.2127,6,4,0.6666,94,19,0.2021,6,4,0.6666
2025-04-18,5F,47,47,11,0.234,0,0,0.0,47,10,0.2127,0,0,0.0
2025-04-18,6F,47,47,9,0.1914,4,2,0.5,47,8,0.1702,4,2,0.5
2025-04-18,合計,94,94,20,0.2127,4,2,0.5,94,18,0.1914,4,2,0.5
2025-04-19,5F,47,45,10,0.2222,1,1,1.0,45,9,0.2,1,1,1.0
2025-04-19,6F,47,46,11,0.2391,2,2,1.0,46,7,0.1521,2,2,1.0
2025-04-19,合計,94,91,21,0.2307,3,3,1.0,91,16,0.1758,3,3,1.0
2025-04-20,5F,47,45,10,0.2222,0,0,0.0,45,9,0.2,0,0,0.0
2025-04-20,6F,47,46,10,0.2173,0,0,0.0,46,8,0.1739,0,0,0.0
2025-04-20,合計,94,91,20,0.2197,0,0,0.0,91,17,0.1868,0,0,0.0
2025-04-21,5F,47,46,9,0.1956,4,2,0.5,46,10,0.2173,4,2,0.5
2025-04-21,6F,47,46,11,0.2391,1,1,1.0,46,10,0.2173,1,1,1.0
2025-04-21,合計,94,92,20,0.2173,5,3,0.6,92,20,0.2173,5,3,0.6
2025-04-22,5F,47,46,10,0.2173,1,1,1.0,46,8,0.1739,1,1,1.0
2025-04-22,6F,47,44,12,0.2727,2,2,1.0,44,9,0.2045,2,2,1.0
2025-04-22,合計,94,90,22,0.2444,3,3,1.0,90,17,0.1888,3,3,1.0
