date,ward,total_patients,new_admissions,discharges,discharge_a,discharge_b,discharge_c,phase_a_count,phase_b_count,phase_c_count,avg_los,notes
2026-03-01,5F,41,1,1,1,0,0,11,18,12,5.0,日曜日 87.2% 空床6床
2026-03-01,6F,44,1,1,0,0,1,4,11,29,18.0,日曜日 93.6% 高稼働
2026-03-02,5F,40,2,3,0,1,2,11,18,11,15.7,月曜日 85.1% 空床7床
2026-03-02,6F,44,2,2,0,0,2,4,11,29,23.0,月曜日 93.6% 高稼働
2026-03-03,5F,41,3,2,0,1,1,11,18,12,12.0,火曜日 87.2% 空床6床
2026-03-03,6F,44,2,2,0,0,2,4,11,29,24.5,火曜日 93.6% 高稼働
2026-03-04,5F,41,3,3,0,3,0,11,18,12,7.3,水曜日 87.2% 空床6床
2026-03-04,6F,45,2,1,0,1,0,4,11,30,12.0,水曜日 95.7% 満床近い 受入余力なし
2026-03-05,5F,40,2,3,0,2,1,11,18,11,12.3,木曜日 85.1% 空床7床
2026-03-05,6F,45,2,2,0,0,2,4,11,30,25.0,木曜日 95.7% 満床近い 受入余力なし
2026-03-06,5F,41,3,2,0,2,0,11,18,12,8.5,金曜日 87.2% 空床6床
2026-03-06,6F,43,2,4,0,0,4,3,11,29,20.2,金曜日 91.5% 高稼働 金曜退院集中(4名)
2026-03-07,5F,41,1,1,0,1,0,11,18,12,9.0,土曜日 87.2% 空床6床
2026-03-07,6F,45,2,0,0,0,0,4,11,30,22.0,土曜日 95.7% 満床近い 受入余力なし
2026-03-08,5F,42,2,1,0,1,0,12,19,11,14.0,日曜日 89.4% 稼働率回復中
2026-03-08,6F,47,2,0,0,0,0,4,12,31,22.0,日曜日 100.0% 満床 入院断り発生
2026-03-09,5F,41,2,3,0,1,2,11,18,12,16.0,月曜日 87.2% 空床6床
2026-03-09,6F,47,3,3,0,0,3,4,12,31,23.3,月曜日 100.0% 満床 入院断り発生
2026-03-10,5F,41,2,2,1,1,0,11,18,12,7.5,火曜日 87.2% 空床6床
2026-03-10,6F,46,2,3,0,0,3,4,12,30,26.7,火曜日 97.9% 残1床 入院制限中
2026-03-11,5F,41,2,2,0,1,1,11,18,12,15.0,水曜日 87.2% 空床6床
2026-03-11,6F,46,2,2,0,0,2,4,12,30,19.0,水曜日 97.9% 残1床 入院制限中
2026-03-12,5F,41,2,2,1,1,0,11,18,12,7.5,木曜日 87.2% 空床6床
2026-03-12,6F,47,3,2,0,0,2,4,12,31,26.5,木曜日 100.0% 満床 入院断り発生
2026-03-13,5F,41,2,2,1,1,0,11,18,12,5.5,金曜日 87.2% 空床6床
2026-03-13,6F,44,2,5,0,1,4,4,11,29,22.4,金曜日 93.6% 高稼働 金曜退院集中(5名)
2026-03-14,5F,41,1,1,0,1,0,11,18,12,6.0,土曜日 87.2% 空床6床
2026-03-14,6F,45,2,1,0,0,1,4,11,30,31.0,土曜日 95.7% 満床近い 受入余力なし
2026-03-15,5F,41,2,2,0,2,0,11,18,12,6.0,日曜日 87.2% 空床6床
2026-03-15,6F,45,1,1,0,0,1,4,11,30,26.0,日曜日 95.7% 満床近い 受入余力なし
2026-03-16,5F,41,3,3,0,2,1,11,18,12,14.3,月曜日 87.2% 空床6床
2026-03-16,6F,45,2,2,0,0,2,4,11,30,19.0,月曜日 95.7% 満床近い 受入余力なし
2026-03-17,5F,41,2,2,1,1,0,11,18,12,7.5,火曜日 87.2% 空床6床
2026-03-17,6F,47,3,1,0,0,1,4,12,31,17.0,火曜日 100.0% 満床 入院断り発生
2026-03-18,5F,40,2,3,2,1,0,11,18,11,7.0,水曜日 85.1% 空床7床
2026-03-18,6F,46,2,3,0,0,3,4,12,30,23.7,水曜日 97.9% 残1床 入院制限中
2026-03-19,5F,39,2,3,1,2,0,11,18,10,8.7,木曜日 83.0% 空床8床 稼働率低め
2026-03-19,6F,46,2,2,0,0,2,4,12,30,19.0,木曜日 97.9% 残1床 入院制限中
2026-03-20,5F,39,3,3,0,3,0,11,18,10,8.3,金曜日 83.0% 空床8床 稼働率低め
2026-03-20,6F,44,2,4,0,1,3,4,11,29,19.0,金曜日 93.6% 高稼働 金曜退院集中(4名)
2026-03-21,5F,39,1,1,1,0,0,11,18,10,4.0,土曜日 83.0% 空床8床 稼働率低め
2026-03-21,6F,44,1,1,0,0,1,4,11,29,15.0,土曜日 93.6% 高稼働
2026-03-22,5F,38,1,2,1,1,0,11,17,10,8.0,日曜日 80.9% 空床9床 稼働率低め
2026-03-22,6F,45,1,0,0,0,0,4,11,30,22.0,日曜日 95.7% 満床近い 受入余力なし
2026-03-23,5F,39,2,1,0,1,0,11,18,10,12.0,月曜日 83.0% 空床8床 稼働率低め
2026-03-23,6F,46,3,2,0,0,2,4,12,30,18.5,月曜日 97.9% 残1床 入院制限中
